tree_id,plant_type,species
19415,Tree,Callistemon viminalis :: Weeping Bottlebrush
19416,Tree,Callistemon viminalis :: Weeping Bottlebrush
19417,Tree,Callistemon viminalis :: Weeping Bottlebrush
16311,Tree,Chamaerops humilis :: Mediterranean Fan Palm
18695,Tree,Eucalyptus cinerea :: Ash-colored Eucalyptus
23727,Tree,Liquidambar styraciflua :: American Sweet Gum
23729,Tree,Liquidambar styraciflua :: American Sweet Gum
23787,Tree,Liquidambar styraciflua :: American Sweet Gum
11766,Tree,Liquidambar styraciflua :: American Sweet Gum
11784,Tree,Liquidambar styraciflua :: American Sweet Gum
23922,Tree,Liquidambar styraciflua :: American Sweet Gum
8918,Tree,Metrosideros excelsa :: New Zealand Xmas Tree
455,Tree,Metrosideros excelsa :: New Zealand Xmas Tree
6525,Tree,Platanus x hispanica :: Sycamore: London Plane
6526,Tree,Platanus x hispanica :: Sycamore: London Plane
6607,Tree,Platanus x hispanica :: Sycamore: London Plane
6609,Tree,Platanus x hispanica :: Sycamore: London Plane
6608,Tree,Platanus x hispanica :: Sycamore: London Plane
23487,Tree,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry
88451,Tree,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry
1818,Tree,Eucalyptus nicholii :: Nichol's Willow-Leafed Peppermint
16158,Tree,Pyrus calleryana 'Bradford' :: Ornamental Pear: Bradford
16160,Tree,Pyrus calleryana 'Bradford' :: Ornamental Pear: Bradford
29780,Tree,Quercus suber :: Cork Oak
29785,Tree,Quercus suber :: Cork Oak
88452,Tree,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry
23366,Tree,Quercus suber :: Cork Oak
23390,Tree,Quercus suber :: Cork Oak
23388,Tree,Quercus suber :: Cork Oak
23339,Tree,Quercus suber :: Cork Oak
15901,Tree,Olea europaea :: Olive Tree
15903,Tree,Olea europaea :: Olive Tree
30074,Tree,Pinus radiata :: Monterey Pine
30088,Tree,Pinus radiata :: Monterey Pine
30076,Tree,Pinus radiata :: Monterey Pine
30083,Tree,Pinus radiata :: Monterey Pine
30082,Tree,Pinus radiata :: Monterey Pine
30091,Tree,Pinus radiata :: Monterey Pine
30070,Tree,Pinus radiata :: Monterey Pine
30079,Tree,Pinus radiata :: Monterey Pine
30092,Tree,Pinus radiata :: Monterey Pine
